Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride
90,45,Urban,Silver,13,4.47,Night,Premium,90,284.25727302188227
58,39,Suburban,Silver,72,4.06,Evening,Economy,43,173.87475274940766
42,31,Rural,Silver,0,3.99,Afternoon,Premium,76,329.7954689622466
89,28,Rural,Regular,67,4.31,Afternoon,Premium,134,470.2012317513198
78,22,Rural,Regular,74,3.77,Afternoon,Economy,149,579.6814223640141
59,35,Urban,Silver,83,3.51,Night,Economy,128,339.9553606047221
93,43,Suburban,Regular,44,4.41,Afternoon,Premium,16,104.06154127359153
62,39,Rural,Gold,83,3.59,Afternoon,Premium,47,235.81186355604996
79,14,Rural,Silver,71,3.74,Evening,Economy,128,501.4125174833056
42,6,Rural,Silver,21,3.85,Night,Premium,128,398.99336457061025
86,17,Urban,Regular,99,4.69,Morning,Economy,167,669.2986264658781
60,38,Rural,Gold,15,4.14,Evening,Premium,144,414.9901047325251
24,8,Rural,Gold,50,4.12,Morning,Economy,164,490.41072171830416
36,24,Suburban,Silver,88,4.22,Night,Premium,83,296.24287599192223
63,13,Rural,Regular,74,4.95,Afternoon,Premium,102,327.0888648717375
39,12,Urban,Silver,30,4.51,Afternoon,Premium,140,445.1368684239125
38,28,Rural,Silver,35,3.93,Afternoon,Premium,54,244.5361718306458
46,14,Suburban,Silver,21,4.71,Afternoon,Economy,15,47.31430863361691
33,7,Suburban,Gold,49,4.31,Evening,Premium,22,129.8082629093964
31,7,Suburban,Silver,24,4.82,Evening,Premium,87,382.9481103198511
96,45,Urban,Regular,6,4.95,Afternoon,Premium,11,82.77279318243978
22,11,Suburban,Silver,79,4.48,Night,Economy,15,64.07117255500656
74,16,Rural,Regular,6,3.97,Morning,Economy,139,390.6687658288554
24,12,Urban,Regular,10,3.6,Evening,Premium,45,212.16652497375455
48,19,Suburban,Gold,72,3.81,Night,Premium,65,235.65813370551408
56,13,Rural,Regular,36,4.81,Evening,Economy,162,406.5574980533908
72,33,Rural,Gold,66,4.39,Morning,Premium,30,182.4744270596517
97,75,Urban,Silver,76,4.7,Night,Economy,158,652.617297300081
62,33,Suburban,Regular,39,3.91,Evening,Premium,129,403.22709836941993
57,38,Suburban,Silver,54,4.1,Night,Premium,131,537.7848594528473
